Date,Open,High,Low,Close,Adj Close,Volume
2020-04-08,3.11,3.11,3.05,3.05,3.05,7800
2020-04-09,3.05,3.05,3.05,3.05,3.05,369800
2020-04-13,3.05,3.05,3.05,3.05,3.05,0
2020-04-14,3.05,3.05,3.05,3.05,3.05,248900
2020-04-15,2.91,2.91,2.91,2.91,2.91,164700
2020-04-16,2.91,2.91,2.91,2.91,2.91,157800
2020-04-17,2.91,2.91,2.91,2.91,2.91,250000
2020-04-20,2.92,2.92,2.92,2.92,2.92,216400
2020-04-21,2.92,2.92,2.92,2.92,2.92,81200
2020-04-22,2.83,2.83,2.83,2.83,2.83,500
2020-04-23,2.78,2.78,2.78,2.78,2.78,500
2020-04-24,2.7,2.7,2.7,2.7,2.7,4200
2020-04-27,2.73,2.731,2.73,2.73,2.73,11500
2020-04-28,2.73,2.73,2.73,2.73,2.73,0
2020-04-29,2.74,2.74,2.74,2.74,2.74,11800
2020-04-30,2.75,2.75,2.75,2.75,2.75,71000
2020-05-01,2.75,2.75,2.75,2.75,2.75,0
2020-05-04,2.51,2.51,2.51,2.51,2.51,200
2020-05-05,2.52,2.52,2.52,2.52,2.52,400
2020-05-06,2.5,2.5,2.5,2.5,2.5,900
2020-05-07,2.6,2.6,2.6,2.6,2.6,2000
2020-05-08,2.7,2.7,2.7,2.7,2.7,1200
2020-05-11,2.64,2.64,2.64,2.64,2.64,11100
2020-05-12,2.64,2.64,2.64,2.64,2.64,0
2020-05-13,2.62,2.62,2.62,2.62,2.62,900
2020-05-14,2.62,2.62,2.62,2.62,2.62,0
2020-05-15,2.51,2.57,2.51,2.57,2.57,1200
2020-05-18,2.57,2.57,2.57,2.57,2.57,0
2020-05-19,2.57,2.57,2.57,2.57,2.57,0
2020-05-20,2.57,2.57,2.57,2.57,2.57,0
2020-05-21,2.57,2.57,2.57,2.57,2.57,0
2020-05-22,2.57,2.57,2.57,2.57,2.57,0
2020-05-26,2.57,2.57,2.57,2.57,2.57,0
2020-05-27,2.57,2.57,2.57,2.57,2.57,0
2020-05-28,2.75,2.75,2.75,2.75,2.75,900
2020-05-29,2.75,2.75,2.75,2.75,2.75,500
2020-06-01,2.96,2.96,2.96,2.96,2.96,400
2020-06-02,2.96,2.96,2.96,2.96,2.96,0
2020-06-03,2.96,2.96,2.96,2.96,2.96,0
2020-06-04,2.96,2.96,2.96,2.96,2.96,0
2020-06-05,3.08,3.08,3.08,3.08,3.08,3300
2020-06-08,3.08,3.08,3.08,3.08,3.08,0
2020-06-09,3.08,3.08,3.08,3.08,3.08,0
2020-06-10,3.18,3.18,3.1,3.15,3.15,2800
2020-06-11,3.1,3.1,3.1,3.1,3.1,1000
2020-06-12,3.1,3.1,3.1,3.1,3.1,0
2020-06-15,2.88,2.88,2.88,2.88,2.88,400
2020-06-16,2.88,2.88,2.88,2.88,2.88,0
2020-06-17,2.88,2.88,2.88,2.88,2.88,0
2020-06-18,2.88,2.88,2.88,2.88,2.88,0
2020-06-19,2.88,2.88,2.88,2.88,2.88,0
2020-06-22,2.85,2.85,2.85,2.85,2.85,13200
2020-06-23,2.85,2.85,2.85,2.85,2.85,0
2020-06-24,2.85,2.85,2.85,2.85,2.85,0
2020-06-25,2.85,2.85,2.85,2.85,2.85,0
2020-06-26,2.85,2.85,2.85,2.85,2.85,0
2020-06-29,2.85,2.85,2.85,2.85,2.85,0
2020-06-30,2.85,2.85,2.85,2.85,2.85,0
2020-07-01,2.85,2.85,2.85,2.85,2.85,0
2020-07-02,2.85,2.85,2.85,2.85,2.85,0
2020-07-06,2.85,2.85,2.85,2.85,2.85,0
2020-07-07,2.85,2.85,2.85,2.85,2.85,0
2020-07-08,2.85,2.85,2.85,2.85,2.85,0
2020-07-09,2.85,2.85,2.85,2.85,2.85,0
2020-07-10,2.8,2.8,2.8,2.8,2.8,500
2020-07-13,2.8,2.8,2.8,2.8,2.8,0
2020-07-14,2.72,2.72,2.72,2.72,2.72,100
2020-07-15,2.72,2.72,2.72,2.72,2.72,0
2020-07-16,2.72,2.72,2.72,2.72,2.72,0
2020-07-17,2.8,2.8,2.8,2.8,2.8,700
2020-07-20,2.8,2.8,2.8,2.8,2.8,0
2020-07-21,2.8,2.8,2.8,2.8,2.8,0
2020-07-22,2.8,2.8,2.8,2.8,2.8,0
2020-07-23,2.8,2.8,2.8,2.8,2.8,0
2020-07-24,2.8,2.8,2.8,2.8,2.8,0
2020-07-27,2.8,2.8,2.8,2.8,2.8,0
2020-07-28,2.81,2.81,2.81,2.81,2.81,500
2020-07-29,2.81,2.81,2.81,2.81,2.81,0
2020-07-30,2.85,2.85,2.85,2.85,2.85,1000
2020-07-31,2.85,2.85,2.85,2.85,2.85,0
2020-08-03,2.85,2.85,2.85,2.85,2.85,0
2020-08-04,2.85,2.85,2.85,2.85,2.85,0
2020-08-05,2.85,2.85,2.85,2.85,2.85,0
2020-08-06,2.85,2.85,2.85,2.85,2.85,0
2020-08-07,2.83,2.83,2.83,2.83,2.83,500
2020-08-10,2.83,2.83,2.83,2.83,2.83,0
2020-08-11,2.84,2.84,2.84,2.84,2.84,2000
2020-08-12,2.82,2.82,2.82,2.82,2.82,600
2020-08-13,2.82,2.82,2.82,2.82,2.82,0
2020-08-14,2.82,2.82,2.82,2.82,2.82,0
2020-08-17,2.82,2.82,2.82,2.82,2.82,0
2020-08-18,2.82,2.82,2.82,2.82,2.82,0
2020-08-19,2.76,2.76,2.76,2.76,2.76,500
2020-08-20,2.76,2.76,2.76,2.76,2.76,0
2020-08-21,2.76,2.76,2.76,2.76,2.76,0
2020-08-24,2.76,2.76,2.76,2.76,2.76,0
2020-08-25,2.75,2.75,2.75,2.75,2.75,400
2020-08-26,2.81,2.81,2.81,2.81,2.81,500
2020-08-27,2.81,2.81,2.81,2.81,2.81,0
2020-08-28,2.9,2.9,2.9,2.9,2.9,300
2020-08-31,2.9,2.9,2.9,2.9,2.9,0
2020-09-01,2.9,2.9,2.9,2.9,2.9,0
2020-09-02,2.9,2.9,2.9,2.9,2.9,400
2020-09-03,2.9,2.9,2.9,2.9,2.9,0
2020-09-04,2.9,2.9,2.9,2.9,2.9,0
2020-09-08,2.9,2.9,2.9,2.9,2.9,0
2020-09-09,2.9,2.9,2.9,2.9,2.9,0
2020-09-10,2.9,2.9,2.9,2.9,2.9,0
2020-09-11,2.9,2.9,2.9,2.9,2.9,0
2020-09-14,2.9,2.9,2.9,2.9,2.9,0
2020-09-15,2.9,2.9,2.9,2.9,2.9,0
2020-09-16,2.95,3.05,2.95,3.05,3.05,700
2020-09-17,3.05,3.05,3.05,3.05,3.05,0
2020-09-18,3.05,3.05,3.05,3.05,3.05,0
2020-09-21,3.02,3.02,3.02,3.02,3.02,3000
2020-09-22,3.02,3.02,3.02,3.02,3.02,0
2020-09-23,3.02,3.02,3.02,3.02,3.02,0
2020-09-24,3.02,3.02,3.02,3.02,3.02,0
2020-09-25,3.02,3.02,3.02,3.02,3.02,0
2020-09-28,2.91,2.91,2.91,2.91,2.91,500
2020-09-29,2.91,2.91,2.91,2.91,2.91,0
2020-09-30,2.91,2.91,2.91,2.91,2.91,2000
2020-10-01,2.91,2.91,2.91,2.91,2.91,0
2020-10-02,2.91,2.91,2.91,2.91,2.91,0
2020-10-05,2.91,2.91,2.91,2.91,2.91,0
2020-10-06,2.91,2.91,2.91,2.91,2.91,0
2020-10-07,2.91,2.91,2.91,2.91,2.91,0
2020-10-08,2.91,2.91,2.91,2.91,2.91,0
2020-10-09,2.91,2.91,2.91,2.91,2.91,0
2020-10-12,2.91,2.91,2.91,2.91,2.91,0
2020-10-13,2.91,2.91,2.91,2.91,2.91,0
2020-10-14,2.91,2.91,2.91,2.91,2.91,0
2020-10-15,2.91,2.91,2.91,2.91,2.91,0
2020-10-16,2.91,2.91,2.91,2.91,2.91,0
2020-10-19,3.1,3.1,3.1,3.1,3.1,2000
2020-10-20,2.96,2.96,2.96,2.96,2.96,600
2020-10-21,2.96,2.96,2.96,2.96,2.96,0
2020-10-22,2.96,2.96,2.96,2.96,2.96,0
2020-10-23,2.96,2.96,2.96,2.96,2.96,0
2020-10-26,2.96,2.96,2.96,2.96,2.96,0
2020-10-27,2.83,2.83,2.83,2.83,2.83,500
2020-10-28,2.83,2.83,2.83,2.83,2.83,0
2020-10-29,2.83,2.83,2.83,2.83,2.83,0
2020-10-30,2.83,2.83,2.83,2.83,2.83,0
2020-11-02,2.83,2.83,2.83,2.83,2.83,0
2020-11-03,2.8,2.8,2.8,2.8,2.8,1300
2020-11-04,2.8,2.8,2.8,2.8,2.8,0
2020-11-05,2.8,2.8,2.8,2.8,2.8,0
2020-11-06,3.0,3.0,3.0,3.0,3.0,11900
2020-11-09,3.03,3.03,3.03,3.03,3.03,500
2020-11-10,3.03,3.03,3.03,3.03,3.03,0
2020-11-11,3.26,3.26,3.26,3.26,3.26,500
2020-11-12,3.26,3.26,3.26,3.26,3.26,0
2020-11-13,3.19,3.19,3.19,3.19,3.19,800
2020-11-16,3.19,3.19,3.19,3.19,3.19,0
2020-11-17,3.19,3.19,3.19,3.19,3.19,0
2020-11-18,3.19,3.19,3.19,3.19,3.19,0
2020-11-19,3.19,3.19,3.19,3.19,3.19,4400
2020-11-20,3.19,3.19,3.19,3.19,3.19,0
2020-11-23,3.19,3.19,3.19,3.19,3.19,0
2020-11-24,3.27,3.27,3.27,3.27,3.27,500
2020-11-25,3.27,3.27,3.27,3.27,3.27,0
2020-11-27,3.27,3.27,3.27,3.27,3.27,0
2020-11-30,3.27,3.27,3.27,3.27,3.27,0
2020-12-01,3.27,3.27,3.27,3.27,3.27,0
2020-12-02,3.27,3.27,3.27,3.27,3.27,1000
2020-12-03,3.27,3.27,3.27,3.27,3.27,0
2020-12-04,3.27,3.27,3.27,3.27,3.27,0
2020-12-07,3.27,3.27,3.27,3.27,3.27,0
2020-12-08,3.15,3.15,3.15,3.15,3.15,700
2020-12-09,3.15,3.15,3.15,3.15,3.15,0
2020-12-10,3.15,3.15,3.15,3.15,3.15,0
2020-12-11,3.15,3.15,3.15,3.15,3.15,0
2020-12-14,3.15,3.15,3.15,3.15,3.15,0
2020-12-15,3.15,3.15,3.15,3.15,3.15,0
2020-12-16,3.05,3.05,3.05,3.05,3.05,1700
2020-12-17,3.05,3.05,3.05,3.05,3.05,0
2020-12-18,3.05,3.05,3.05,3.05,3.05,1600
2020-12-21,3.0,3.0,3.0,3.0,3.0,800
2020-12-22,3.0,3.0,3.0,3.0,3.0,0
2020-12-23,3.0,3.0,3.0,3.0,3.0,0
2020-12-24,3.0,3.0,3.0,3.0,3.0,0
2020-12-28,3.0,3.0,3.0,3.0,3.0,0
2020-12-29,3.0,3.0,3.0,3.0,3.0,0
2020-12-30,3.0,3.0,3.0,3.0,3.0,1700
2020-12-31,3.1,3.1,3.0,3.0,3.0,3000
2021-01-04,3.16,3.16,3.16,3.16,3.16,500
2021-01-05,3.16,3.16,3.16,3.16,3.16,0
2021-01-06,3.16,3.16,3.16,3.16,3.16,0
2021-01-07,3.16,3.16,3.16,3.16,3.16,0
2021-01-08,3.16,3.16,3.16,3.16,3.16,0
2021-01-11,3.16,3.16,3.16,3.16,3.16,0
2021-01-12,3.16,3.16,3.16,3.16,3.16,0
2021-01-13,3.16,3.16,3.16,3.16,3.16,0
2021-01-14,3.16,3.16,3.16,3.16,3.16,0
2021-01-15,3.16,3.16,3.16,3.16,3.16,0
2021-01-19,3.25,3.25,3.25,3.25,3.25,800
2021-01-20,3.25,3.25,3.25,3.25,3.25,0
2021-01-21,3.25,3.25,3.25,3.25,3.25,0
2021-01-22,3.06,3.06,3.06,3.06,3.06,500
2021-01-25,3.05,3.05,3.05,3.05,3.05,200
2021-01-26,3.1,3.11,3.1,3.11,3.11,1100
2021-01-27,3.11,3.11,3.11,3.11,3.11,0
2021-01-28,3.11,3.11,3.11,3.11,3.11,0
2021-01-29,3.11,3.11,3.11,3.11,3.11,0
2021-02-01,3.11,3.11,3.11,3.11,3.11,0
2021-02-02,3.11,3.11,3.11,3.11,3.11,0
2021-02-03,3.11,3.11,3.11,3.11,3.11,0
2021-02-04,3.11,3.11,3.11,3.11,3.11,0
2021-02-05,3.11,3.11,3.11,3.11,3.11,0
2021-02-08,3.11,3.11,3.11,3.11,3.11,0
2021-02-09,3.11,3.11,3.11,3.11,3.11,0
2021-02-10,3.11,3.11,3.11,3.11,3.11,0
2021-02-11,3.06,3.06,3.06,3.06,3.06,1000
2021-02-12,3.06,3.06,3.06,3.06,3.06,0
2021-02-16,3.06,3.06,3.06,3.06,3.06,0
2021-02-17,3.06,3.06,3.06,3.06,3.06,0
2021-02-18,3.06,3.06,3.06,3.06,3.06,0
2021-02-19,3.06,3.06,3.06,3.06,3.06,0
2021-02-22,3.06,3.06,3.06,3.06,3.06,0
2021-02-23,3.06,3.06,3.06,3.06,3.06,0
2021-02-24,3.06,3.06,3.06,3.06,3.06,0
2021-02-25,3.06,3.06,3.06,3.06,3.06,0
2021-02-26,3.06,3.06,3.06,3.06,3.06,0
2021-03-01,2.95,2.95,2.95,2.95,2.95,3500
2021-03-02,2.95,2.95,2.95,2.95,2.95,0
2021-03-03,2.95,2.95,2.95,2.95,2.95,0
2021-03-04,2.95,2.95,2.95,2.95,2.95,0
2021-03-05,2.95,2.95,2.95,2.95,2.95,0
2021-03-08,2.95,2.95,2.95,2.95,2.95,0
2021-03-09,2.95,2.95,2.95,2.95,2.95,0
2021-03-10,2.95,2.95,2.95,2.95,2.95,0
2021-03-11,2.95,2.95,2.95,2.95,2.95,0
2021-03-12,2.95,2.95,2.95,2.95,2.95,0
2021-03-15,2.95,2.95,2.95,2.95,2.95,0
2021-03-16,2.95,2.95,2.95,2.95,2.95,0
2021-03-17,3.0,3.0,3.0,3.0,3.0,400
2021-03-18,3.0,3.0,3.0,3.0,3.0,0
2021-03-19,3.0,3.0,3.0,3.0,3.0,0
2021-03-22,3.0,3.0,3.0,3.0,3.0,0
2021-03-23,3.0,3.0,3.0,3.0,3.0,0
2021-03-24,3.0,3.0,3.0,3.0,3.0,0
2021-03-25,3.0,3.0,3.0,3.0,3.0,0
2021-03-26,3.16,3.16,3.16,3.16,3.16,500
2021-03-29,3.16,3.16,3.16,3.16,3.16,0
2021-03-30,3.16,3.16,3.16,3.16,3.16,0
2021-03-31,3.16,3.16,3.16,3.16,3.16,0
2021-04-01,3.16,3.16,3.16,3.16,3.16,0
2021-04-05,3.16,3.16,3.16,3.16,3.16,0
2021-04-06,3.16,3.16,3.16,3.16,3.16,0
2021-04-07,3.16,3.16,3.16,3.16,3.16,0
2021-04-08,3.16,3.16,3.16,3.16,3.16,0
2021-04-09,3.16,3.16,3.16,3.16,3.16,0
2021-04-12,3.16,3.16,3.16,3.16,3.16,0
2021-04-13,3.16,3.16,3.16,3.16,3.16,0
2021-04-14,3.16,3.16,3.16,3.16,3.16,0
2021-04-15,3.16,3.16,3.16,3.16,3.16,0
2021-04-16,3.16,3.16,3.16,3.16,3.16,0
2021-04-19,3.16,3.16,3.16,3.16,3.16,0
2021-04-20,3.16,3.16,3.16,3.16,3.16,0
2021-04-21,3.16,3.16,3.16,3.16,3.16,0
2021-04-22,3.16,3.16,3.16,3.16,3.16,0
2021-04-23,3.16,3.16,3.16,3.16,3.16,0
2021-04-26,3.16,3.16,3.16,3.16,3.16,0
2021-04-27,3.16,3.16,3.16,3.16,3.16,0
2021-04-28,3.16,3.16,3.16,3.16,3.16,5000
2021-04-29,3.3,3.3,3.3,3.3,3.3,500
2021-04-30,3.3,3.3,3.3,3.3,3.3,0
2021-05-03,3.3,3.3,3.3,3.3,3.3,0
2021-05-04,3.35,3.35,3.35,3.35,3.35,200
2021-05-05,3.35,3.35,3.35,3.35,3.35,0
2021-05-06,3.35,3.35,3.35,3.35,3.35,0
2021-05-07,3.35,3.35,3.35,3.35,3.35,0
2021-05-10,3.35,3.35,3.35,3.35,3.35,0
2021-05-11,3.35,3.35,3.35,3.35,3.35,0
2021-05-12,3.35,3.35,3.35,3.35,3.35,0
2021-05-13,3.42,3.42,3.42,3.42,3.42,100
2021-05-14,3.42,3.42,3.42,3.42,3.42,0
2021-05-17,3.42,3.42,3.42,3.42,3.42,0
2021-05-18,3.42,3.42,3.42,3.42,3.42,0
2021-05-19,3.42,3.42,3.42,3.42,3.42,0
2021-05-20,3.42,3.42,3.42,3.42,3.42,0
2021-05-21,3.42,3.42,3.42,3.42,3.42,0
2021-05-24,3.42,3.42,3.42,3.42,3.42,0
2021-05-25,3.42,3.42,3.42,3.42,3.42,0
2021-05-26,3.42,3.42,3.42,3.42,3.42,0
2021-05-27,3.42,3.42,3.42,3.42,3.42,0
2021-05-28,3.42,3.42,3.42,3.42,3.42,0
2021-06-01,3.42,3.42,3.42,3.42,3.42,0
2021-06-02,3.42,3.42,3.42,3.42,3.42,0
2021-06-03,3.4,3.4,3.4,3.4,3.4,200
2021-06-04,3.4,3.4,3.4,3.4,3.4,0
2021-06-07,3.4,3.4,3.4,3.4,3.4,0
2021-06-08,3.4,3.4,3.4,3.4,3.4,0
2021-06-09,3.4,3.4,3.4,3.4,3.4,0
2021-06-10,3.4,3.4,3.4,3.4,3.4,0
2021-06-11,3.4,3.4,3.4,3.4,3.4,0
2021-06-14,3.4,3.4,3.4,3.4,3.4,0
2021-06-15,3.4,3.4,3.4,3.4,3.4,0
2021-06-16,3.4,3.4,3.4,3.4,3.4,0
2021-06-17,3.4,3.4,3.4,3.4,3.4,0
2021-06-18,3.4,3.4,3.4,3.4,3.4,0
2021-06-21,3.4,3.4,3.4,3.4,3.4,0
2021-06-22,3.4,3.4,3.4,3.4,3.4,0
2021-06-23,3.4,3.4,3.4,3.4,3.4,0
2021-06-24,3.4,3.4,3.4,3.4,3.4,0
2021-06-25,3.4,3.4,3.4,3.4,3.4,0
2021-06-28,3.4,3.4,3.4,3.4,3.4,0
2021-06-29,3.4,3.4,3.4,3.4,3.4,0
2021-06-30,3.4,3.4,3.4,3.4,3.4,0
2021-07-01,3.4,3.4,3.4,3.4,3.4,0
2021-07-02,3.4,3.4,3.4,3.4,3.4,0
2021-07-06,3.4,3.4,3.4,3.4,3.4,0
2021-07-07,3.4,3.4,3.4,3.4,3.4,0
2021-07-08,3.4,3.4,3.4,3.4,3.4,0
2021-07-09,3.4,3.4,3.4,3.4,3.4,0
2021-07-12,3.4,3.4,3.4,3.4,3.4,0
2021-07-13,3.4,3.4,3.4,3.4,3.4,0
2021-07-14,3.4,3.4,3.4,3.4,3.4,0
2021-07-15,3.4,3.4,3.4,3.4,3.4,0
2021-07-16,3.4,3.4,3.4,3.4,3.4,0
2021-07-19,3.4,3.4,3.4,3.4,3.4,0
2021-07-20,3.4,3.4,3.4,3.4,3.4,0
2021-07-21,3.4,3.4,3.4,3.4,3.4,0
2021-07-22,3.4,3.4,3.4,3.4,3.4,0
2021-07-23,3.4,3.4,3.4,3.4,3.4,0
2021-07-26,3.4,3.4,3.4,3.4,3.4,0
2021-07-27,3.4,3.4,3.4,3.4,3.4,0
2021-07-28,3.4,3.4,3.4,3.4,3.4,0
2021-07-29,3.4,3.4,3.4,3.4,3.4,0
2021-07-30,3.4,3.4,3.4,3.4,3.4,0
2021-08-02,3.2,3.2,3.2,3.2,3.2,500
2021-08-03,3.2,3.2,3.2,3.2,3.2,0
2021-08-04,3.2,3.2,3.2,3.2,3.2,0
2021-08-05,3.2,3.2,3.2,3.2,3.2,0
2021-08-06,3.2,3.2,3.2,3.2,3.2,300
2021-08-09,3.2,3.2,3.2,3.2,3.2,0
2021-08-10,3.25,3.25,3.25,3.25,3.25,3500
2021-08-11,3.25,3.25,3.25,3.25,3.25,0
2021-08-12,3.25,3.25,3.25,3.25,3.25,0
2021-08-13,3.25,3.25,3.25,3.25,3.25,900
2021-08-16,3.25,3.25,3.25,3.25,3.25,0
2021-08-17,3.25,3.25,3.25,3.25,3.25,0
2021-08-18,3.25,3.25,3.25,3.25,3.25,0
2021-08-19,3.25,3.25,3.25,3.25,3.25,0
2021-08-20,3.25,3.25,3.25,3.25,3.25,0
2021-08-23,3.25,3.25,3.25,3.25,3.25,0
2021-08-24,3.26,3.26,3.26,3.26,3.26,1000
2021-08-25,3.26,3.26,3.26,3.26,3.26,0
2021-08-26,3.26,3.26,3.26,3.26,3.26,0
2021-08-27,3.26,3.26,3.26,3.26,3.26,0
2021-08-30,3.26,3.26,3.26,3.26,3.26,0
2021-08-31,3.26,3.26,3.26,3.26,3.26,0
2021-09-01,3.26,3.26,3.26,3.26,3.26,0
2021-09-02,3.26,3.26,3.26,3.26,3.26,0
2021-09-03,3.16,3.16,3.16,3.16,3.16,2000
2021-09-07,3.16,3.16,3.16,3.16,3.16,0
2021-09-08,3.16,3.16,3.16,3.16,3.16,0
2021-09-09,3.16,3.16,3.16,3.16,3.16,0
2021-09-10,3.16,3.16,3.16,3.16,3.16,0
2021-09-13,3.16,3.16,3.16,3.16,3.16,0
2021-09-14,3.16,3.16,3.16,3.16,3.16,0
2021-09-15,3.16,3.16,3.16,3.16,3.16,0
2021-09-16,3.16,3.16,3.16,3.16,3.16,0
2021-09-17,3.16,3.16,3.16,3.16,3.16,0
2021-09-20,3.16,3.16,3.16,3.16,3.16,0
2021-09-21,3.16,3.16,3.16,3.16,3.16,0
2021-09-22,3.16,3.16,3.16,3.16,3.16,500
2021-09-23,3.16,3.16,3.16,3.16,3.16,0
2021-09-24,3.16,3.16,3.16,3.16,3.16,0
2021-09-27,3.0,3.0,3.0,3.0,3.0,2000
2021-09-28,3.0,3.0,3.0,3.0,3.0,0
2021-09-29,3.0,3.0,3.0,3.0,3.0,0
2021-09-30,3.0,3.0,3.0,3.0,3.0,0
2021-10-01,3.0,3.0,3.0,3.0,3.0,0
2021-10-04,3.0,3.0,3.0,3.0,3.0,0
2021-10-05,3.0,3.0,3.0,3.0,3.0,0
2021-10-06,3.0,3.0,3.0,3.0,3.0,0
2021-10-07,3.0,3.0,3.0,3.0,3.0,0
2021-10-08,3.0,3.0,3.0,3.0,3.0,0
2021-10-11,3.0,3.0,3.0,3.0,3.0,0
2021-10-12,3.0,3.0,3.0,3.0,3.0,0
2021-10-13,3.0,3.0,3.0,3.0,3.0,0
2021-10-14,3.0,3.0,3.0,3.0,3.0,0
2021-10-15,3.0,3.0,3.0,3.0,3.0,0
2021-10-18,3.0,3.0,3.0,3.0,3.0,0
2021-10-19,3.0,3.0,3.0,3.0,3.0,0
2021-10-20,3.0,3.0,3.0,3.0,3.0,0
2021-10-21,3.0,3.0,3.0,3.0,3.0,0
2021-10-22,3.0,3.0,3.0,3.0,3.0,0
2021-10-25,3.0,3.0,3.0,3.0,3.0,0
2021-10-26,3.0,3.0,3.0,3.0,3.0,0
2021-10-27,3.0,3.0,3.0,3.0,3.0,0
2021-10-28,3.0,3.0,3.0,3.0,3.0,0
2021-10-29,3.0,3.0,3.0,3.0,3.0,0
2021-11-01,3.0,3.0,3.0,3.0,3.0,0
2021-11-02,3.0,3.0,3.0,3.0,3.0,0
2021-11-03,3.0,3.0,3.0,3.0,3.0,0
2021-11-04,3.0,3.0,3.0,3.0,3.0,0
2021-11-05,3.0,3.0,3.0,3.0,3.0,0
2021-11-08,3.0,3.0,3.0,3.0,3.0,0
2021-11-09,3.0,3.0,3.0,3.0,3.0,0
2021-11-10,3.0,3.0,3.0,3.0,3.0,0
2021-11-11,3.0,3.0,3.0,3.0,3.0,0
2021-11-12,3.0,3.0,3.0,3.0,3.0,0
2021-11-15,3.0,3.0,3.0,3.0,3.0,0
2021-11-16,3.0,3.0,3.0,3.0,3.0,0
2021-11-17,3.0,3.0,3.0,3.0,3.0,0
2021-11-18,3.0,3.0,3.0,3.0,3.0,0
2021-11-19,3.0,3.0,3.0,3.0,3.0,0
2021-11-22,3.0,3.0,3.0,3.0,3.0,0
2021-11-23,3.03,3.03,3.03,3.03,3.03,700
2021-11-24,3.03,3.03,3.03,3.03,3.03,0
2021-11-26,2.8,2.8,2.8,2.8,2.8,1600
2021-11-29,2.8,2.8,2.8,2.8,2.8,0
2021-11-30,2.8,2.8,2.8,2.8,2.8,0
2021-12-01,2.8,2.8,2.8,2.8,2.8,0
2021-12-02,2.83,2.83,2.83,2.83,2.83,5400
2021-12-03,2.83,2.83,2.83,2.83,2.83,0
2021-12-06,2.83,2.83,2.83,2.83,2.83,0
2021-12-07,2.83,2.83,2.83,2.83,2.83,0
2021-12-08,2.83,2.83,2.83,2.83,2.83,0
2021-12-09,3.06,3.06,3.06,3.06,3.06,2000
2021-12-10,3.05,3.05,3.05,3.05,3.05,1000
2021-12-13,3.05,3.05,3.05,3.05,3.05,0
2021-12-14,3.05,3.05,3.05,3.05,3.05,0
