Date,Open,High,Low,Close,Adj Close,Volume
2014-07-15,6.5,6.5,6.5,6.5,6.5,0
2014-07-16,6.5,6.5,6.5,6.5,6.5,0
2014-07-17,6.5,6.5,6.5,6.5,6.5,0
2014-07-18,6.5,6.5,6.5,6.5,6.5,0
2014-07-21,6.5,6.5,6.5,6.5,6.5,0
2014-07-22,6.5,6.5,6.5,6.5,6.5,0
2014-07-23,6.5,6.5,6.5,6.5,6.5,0
2014-07-24,6.5,6.5,6.5,6.5,6.5,0
2014-07-25,6.5,6.5,6.5,6.5,6.5,0
2014-07-28,6.5,6.5,6.5,6.5,6.5,0
2014-07-29,6.5,6.5,6.0,6.0,6.0,1500
2014-07-30,6.0,6.0,6.0,6.0,6.0,200
2014-07-31,6.0,6.0,6.0,6.0,6.0,0
2014-08-01,6.0,6.0,6.0,6.0,6.0,0
2014-08-04,6.0,6.0,6.0,6.0,6.0,0
2014-08-05,6.0,6.0,6.0,6.0,6.0,0
2014-08-06,6.0,6.0,6.0,6.0,6.0,0
2014-08-07,6.0,6.0,6.0,6.0,6.0,0
2014-08-08,6.0,6.0,6.0,6.0,6.0,0
2014-08-11,6.0,6.0,6.0,6.0,6.0,0
2014-08-12,6.0,6.0,6.0,6.0,6.0,0
2014-08-13,6.0,6.0,6.0,6.0,6.0,0
2014-08-14,6.0,6.0,6.0,6.0,6.0,0
2014-08-15,6.0,6.0,6.0,6.0,6.0,0
2014-08-18,6.0,6.0,6.0,6.0,6.0,0
2014-08-19,6.0,6.0,6.0,6.0,6.0,0
2014-08-20,6.0,6.0,6.0,6.0,6.0,0
2014-08-21,6.0,6.0,6.0,6.0,6.0,0
2014-08-22,6.0,6.0,6.0,6.0,6.0,0
2014-08-25,6.0,6.0,6.0,6.0,6.0,0
2014-08-26,6.0,6.0,6.0,6.0,6.0,0
2014-08-27,6.0,6.0,6.0,6.0,6.0,0
2014-08-28,6.0,6.0,6.0,6.0,6.0,0
2014-08-29,6.0,6.0,6.0,6.0,6.0,0
2014-09-02,6.0,6.0,6.0,6.0,6.0,0
2014-09-03,6.0,6.0,6.0,6.0,6.0,0
2014-09-04,6.0,6.0,6.0,6.0,6.0,100
2014-09-05,6.0,6.0,6.0,6.0,6.0,0
2014-09-08,6.0,6.0,6.0,6.0,6.0,0
2014-09-09,6.0,6.0,6.0,6.0,6.0,0
2014-09-10,6.0,6.0,6.0,6.0,6.0,0
2014-09-11,6.0,6.0,6.0,6.0,6.0,0
2014-09-12,6.0,6.0,6.0,6.0,6.0,0
2014-09-15,6.0,6.0,6.0,6.0,6.0,0
2014-09-16,6.0,6.0,6.0,6.0,6.0,0
2014-09-17,6.0,6.0,6.0,6.0,6.0,0
2014-09-18,6.0,6.0,6.0,6.0,6.0,0
2014-09-19,6.0,6.0,6.0,6.0,6.0,0
2014-09-22,6.0,6.0,6.0,6.0,6.0,0
2014-09-23,6.0,6.0,6.0,6.0,6.0,0
2014-09-24,6.0,6.0,6.0,6.0,6.0,0
2014-09-25,6.0,6.0,6.0,6.0,6.0,0
2014-09-26,6.0,6.0,6.0,6.0,6.0,0
2014-09-29,6.0,6.0,6.0,6.0,6.0,0
2014-09-30,6.0,6.0,6.0,6.0,6.0,0
2014-10-01,6.0,6.0,6.0,6.0,6.0,0
2014-10-02,6.0,6.0,6.0,6.0,6.0,0
2014-10-03,6.0,6.0,6.0,6.0,6.0,0
2014-10-06,6.0,6.0,6.0,6.0,6.0,0
2014-10-07,6.0,6.0,6.0,6.0,6.0,0
2014-10-08,6.0,6.0,6.0,6.0,6.0,0
2014-10-09,6.0,6.0,6.0,6.0,6.0,0
2014-10-10,6.0,6.0,6.0,6.0,6.0,0
2014-10-13,6.0,6.0,6.0,6.0,6.0,0
2014-10-14,6.0,6.0,6.0,6.0,6.0,0
2014-10-15,6.0,6.0,6.0,6.0,6.0,0
2014-10-16,6.0,6.0,6.0,6.0,6.0,0
2014-10-17,6.0,6.0,6.0,6.0,6.0,0
2014-10-20,6.0,6.0,6.0,6.0,6.0,0
2014-10-21,6.0,6.0,6.0,6.0,6.0,0
2014-10-22,6.0,6.0,6.0,6.0,6.0,0
2014-10-23,6.0,6.0,6.0,6.0,6.0,0
2014-10-24,6.0,6.0,6.0,6.0,6.0,0
2014-10-27,6.0,6.0,6.0,6.0,6.0,0
2014-10-28,6.0,6.0,6.0,6.0,6.0,0
2014-10-29,6.0,6.0,6.0,6.0,6.0,0
2014-10-30,6.0,6.0,6.0,6.0,6.0,0
2014-10-31,6.0,6.0,6.0,6.0,6.0,0
2014-11-03,6.0,6.0,6.0,6.0,6.0,0
2014-11-04,6.0,6.0,6.0,6.0,6.0,0
2014-11-05,5.0,5.0,5.0,5.0,5.0,300
2014-11-06,4.8,4.8,4.5,4.5,4.5,300
2014-11-07,4.5,4.5,4.5,4.5,4.5,0
2014-11-10,4.25,4.25,4.0,4.0,4.0,200
2014-11-11,4.0,4.0,4.0,4.0,4.0,0
2014-11-12,4.0,4.0,4.0,4.0,4.0,0
2014-11-13,4.0,4.0,4.0,4.0,4.0,0
2014-11-14,4.0,4.0,4.0,4.0,4.0,0
2014-11-17,4.0,4.0,4.0,4.0,4.0,0
2014-11-18,4.0,4.0,4.0,4.0,4.0,0
2014-11-19,4.0,4.0,4.0,4.0,4.0,0
2014-11-20,4.0,4.0,4.0,4.0,4.0,0
2014-11-21,4.0,4.0,4.0,4.0,4.0,0
2014-11-24,4.0,4.0,4.0,4.0,4.0,0
2014-11-25,4.0,4.0,4.0,4.0,4.0,0
2014-11-26,4.0,4.0,4.0,4.0,4.0,0
2014-11-28,4.0,4.0,4.0,4.0,4.0,0
2014-12-01,4.0,4.0,4.0,4.0,4.0,100
2014-12-02,4.0,4.0,4.0,4.0,4.0,0
2014-12-03,4.0,4.0,4.0,4.0,4.0,0
2014-12-04,4.0,4.0,4.0,4.0,4.0,0
2014-12-05,4.0,4.0,4.0,4.0,4.0,0
2014-12-08,4.0,4.0,4.0,4.0,4.0,0
2014-12-09,4.0,4.0,4.0,4.0,4.0,0
2014-12-10,4.0,4.0,4.0,4.0,4.0,0
2014-12-11,4.0,4.0,4.0,4.0,4.0,0
2014-12-12,4.0,4.0,4.0,4.0,4.0,0
2014-12-15,4.0,4.0,4.0,4.0,4.0,0
2014-12-16,4.0,4.0,4.0,4.0,4.0,0
2014-12-17,4.0,4.0,4.0,4.0,4.0,0
2014-12-18,4.0,4.0,4.0,4.0,4.0,0
2014-12-19,4.0,4.0,4.0,4.0,4.0,0
2014-12-22,4.0,4.0,4.0,4.0,4.0,0
2014-12-23,4.0,4.0,4.0,4.0,4.0,0
2014-12-24,4.0,4.0,4.0,4.0,4.0,0
2014-12-26,4.0,4.0,4.0,4.0,4.0,0
2014-12-29,4.0,4.0,4.0,4.0,4.0,0
2014-12-30,4.0,4.0,4.0,4.0,4.0,0
2014-12-31,4.0,4.0,4.0,4.0,4.0,0
2015-01-02,4.0,4.0,4.0,4.0,4.0,0
2015-01-05,4.0,4.0,4.0,4.0,4.0,0
2015-01-06,4.0,4.0,4.0,4.0,4.0,0
2015-01-07,4.0,4.0,4.0,4.0,4.0,0
2015-01-08,4.0,4.0,4.0,4.0,4.0,0
2015-01-09,4.0,4.0,4.0,4.0,4.0,0
2015-01-12,4.0,4.0,4.0,4.0,4.0,0
2015-01-13,4.0,4.0,4.0,4.0,4.0,0
2015-01-14,4.0,4.0,4.0,4.0,4.0,0
2015-01-15,4.0,4.0,4.0,4.0,4.0,0
2015-01-16,4.0,4.0,4.0,4.0,4.0,0
2015-01-20,4.0,4.0,4.0,4.0,4.0,0
2015-01-21,4.0,4.0,4.0,4.0,4.0,0
2015-01-22,4.0,4.0,4.0,4.0,4.0,0
2015-01-23,4.0,4.0,4.0,4.0,4.0,0
2015-01-26,3.75,3.75,3.75,3.75,3.75,100
2015-01-27,3.75,3.75,3.75,3.75,3.75,0
2015-01-28,3.75,3.75,3.75,3.75,3.75,0
2015-01-29,3.75,3.75,3.75,3.75,3.75,0
2015-01-30,3.75,3.75,3.75,3.75,3.75,0
2015-02-02,3.75,3.75,3.75,3.75,3.75,0
2015-02-03,3.75,3.75,3.75,3.75,3.75,0
2015-02-04,3.75,3.75,3.75,3.75,3.75,0
2015-02-05,3.75,3.75,3.75,3.75,3.75,0
2015-02-06,3.75,3.75,3.75,3.75,3.75,0
2015-02-09,3.75,3.75,3.75,3.75,3.75,0
2015-02-10,3.75,3.75,3.75,3.75,3.75,0
2015-02-11,3.75,3.75,3.75,3.75,3.75,0
2015-02-12,3.75,3.75,3.75,3.75,3.75,0
2015-02-13,3.75,3.75,3.75,3.75,3.75,0
2015-02-17,3.75,3.75,3.75,3.75,3.75,0
2015-02-18,3.75,3.75,3.75,3.75,3.75,0
2015-02-19,3.75,3.75,3.75,3.75,3.75,0
2015-02-20,3.75,3.75,3.75,3.75,3.75,0
2015-02-23,4.5,4.5,4.5,4.5,4.5,200
2015-02-24,4.5,4.5,4.5,4.5,4.5,0
2015-02-25,4.5,4.5,4.5,4.5,4.5,0
2015-02-26,4.5,4.5,4.5,4.5,4.5,0
2015-02-27,4.5,4.5,4.5,4.5,4.5,0
2015-03-02,4.5,4.5,4.5,4.5,4.5,0
2015-03-03,4.5,4.5,4.5,4.5,4.5,0
2015-03-04,4.5,4.5,4.5,4.5,4.5,0
