Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,4.0,4.0,4.0,4.0,4.0,0
2013-07-17,4.0,4.0,4.0,4.0,4.0,15
2013-07-18,4.0,4.0,4.0,4.0,4.0,0
2013-07-19,4.0,4.0,4.0,4.0,4.0,0
2013-07-22,4.0,4.0,4.0,4.0,4.0,0
2013-07-23,4.0,4.0,4.0,4.0,4.0,0
2013-07-24,4.0,4.0,4.0,4.0,4.0,0
2013-07-25,4.0,4.0,4.0,4.0,4.0,0
2013-07-26,4.0,4.0,4.0,4.0,4.0,0
2013-07-29,4.0,4.0,4.0,4.0,4.0,0
2013-07-30,4.0,4.0,4.0,4.0,4.0,0
2013-07-31,4.0,4.0,4.0,4.0,4.0,0
2013-08-01,4.0,4.0,4.0,4.0,4.0,0
2013-08-02,4.0,4.0,4.0,4.0,4.0,0
2013-08-05,4.0,4.0,4.0,4.0,4.0,0
2013-08-06,4.0,4.0,4.0,4.0,4.0,0
2013-08-07,4.0,4.0,4.0,4.0,4.0,0
2013-08-08,4.0,4.0,4.0,4.0,4.0,0
2013-08-09,4.0,4.0,4.0,4.0,4.0,0
2013-08-12,4.0,4.0,4.0,4.0,4.0,0
2013-08-13,4.0,4.0,4.0,4.0,4.0,0
2013-08-14,4.0,4.0,4.0,4.0,4.0,0
2013-08-15,4.0,4.0,4.0,4.0,4.0,0
2013-08-16,4.0,4.0,4.0,4.0,4.0,0
2013-08-19,4.0,4.0,4.0,4.0,4.0,0
2013-08-20,4.0,4.0,4.0,4.0,4.0,0
2013-08-21,4.0,4.0,4.0,4.0,4.0,0
2013-08-22,4.0,4.0,4.0,4.0,4.0,0
2013-08-23,4.0,4.0,4.0,4.0,4.0,0
2013-08-26,4.0,4.0,4.0,4.0,4.0,0
2013-08-27,4.0,4.0,4.0,4.0,4.0,0
2013-08-28,4.0,4.0,4.0,4.0,4.0,0
2013-08-29,4.0,4.0,4.0,4.0,4.0,0
2013-08-30,4.0,4.0,4.0,4.0,4.0,0
2013-09-03,4.0,4.0,4.0,4.0,4.0,0
2013-09-04,4.0,4.0,4.0,4.0,4.0,0
2013-09-05,4.0,4.0,4.0,4.0,4.0,0
2013-09-06,4.0,4.0,4.0,4.0,4.0,0
2013-09-09,4.0,4.0,4.0,4.0,4.0,0
2013-09-10,4.0,4.0,4.0,4.0,4.0,0
2013-09-11,4.0,4.0,4.0,4.0,4.0,0
2013-09-12,4.0,4.0,4.0,4.0,4.0,0
2013-09-13,4.0,4.0,4.0,4.0,4.0,0
2013-09-16,4.0,4.0,4.0,4.0,4.0,0
2013-09-17,4.0,4.0,4.0,4.0,4.0,0
2013-09-18,4.0,4.0,4.0,4.0,4.0,0
2013-09-19,4.0,4.0,4.0,4.0,4.0,0
2013-09-20,4.0,4.0,4.0,4.0,4.0,0
2013-09-23,4.0,6.0,4.0,6.0,6.0,30
2013-09-24,6.0,6.0,6.0,6.0,6.0,0
2013-09-25,6.0,6.0,6.0,6.0,6.0,0
2013-09-26,4.0,4.0,4.0,4.0,4.0,20
2013-09-27,4.0,4.0,4.0,4.0,4.0,20
2013-09-30,4.0,4.0,4.0,4.0,4.0,0
2013-10-01,4.0,4.0,4.0,4.0,4.0,0
2013-10-02,4.0,4.0,4.0,4.0,4.0,0
2013-10-03,4.0,4.0,4.0,4.0,4.0,0
2013-10-04,4.0,4.0,4.0,4.0,4.0,0
2013-10-07,4.0,4.0,4.0,4.0,4.0,0
2013-10-08,4.0,4.0,4.0,4.0,4.0,0
2013-10-09,4.0,4.0,4.0,4.0,4.0,0
2013-10-10,4.0,4.0,4.0,4.0,4.0,0
2013-10-11,4.0,4.0,4.0,4.0,4.0,0
2013-10-14,4.0,4.0,4.0,4.0,4.0,0
2013-10-15,4.0,4.0,4.0,4.0,4.0,0
